terms;values
подбирать;1,301030
подбор;1,518514
подборка;1,518514
подбрасывать;2
подбужский;2
подвал;1,204120
подведение;1,301030
подведомственный;2
подвергать;1
подвергаться;0,477121
подверженный;1,397940
подветренный;2
подвиг;1,079181
подвигнуть;2
подвижность;1,698970
подвижный;1,397940
подводить;0,954243
подводиться;1,698970
подводник;1,698970
подводный;0,954243
подвоз;2
подвойский;2
подворона;2
подгаживать;2
подгайцы;2
подгорица;1,698970
подготавливать;1,698970
подготавливаться;1,698970
подготовительный;1,204120
подготовить;0,845098
подготовка;0,602060
подготовление;2
подгруппа;1,146128
поддаваться;1,146128
подданная;2
подданный;1,397940
подданство;1,518514
подделка;2
подделываться;2
поддельный;1,698970
поддержание;1,146128
поддерживать;0,301030
поддерживаться;1,301030
поддержка;0,477121
подеваться;2
поделать;1,397940
поделить;1,301030
подержать;2
подеста;2
подешеветь;2
поджелудочный;2
поджигать;1,698970
поджог;1,518514
поджогин;2
подзабывать;2
подзаголовок;1,698970
подземный;0,903090
подкарпатский;2
подкидыш;2
подкисление;2
подкислять;2
подкладывать;2
подключаться;1,518514
подключение;2
подколзин;2
подкомиссия;2
подконтрольный;1,518514
подкрепление;1,518514
подкреплять;1,397940
подкуп;1,698970
подледный;2
подлежать;1,204120
подлежащее;1,698970
подлесок;2
подлет;2
подливать;2
подлинность;1,698970
подлинный;1,301030
подлог;1,698970
подлодка;1,698970
подляский;2
подляшье;1,698970
подмандатный;1,698970
подмаст;2
подмастерье;2
подменивать;1,698970
подмечать;2
подмосковный;1,397940
подмыв;2
поднебесье;2
поднестровский;2
подниматься;0,602060
подножие;1,301030
подножка;2
поднятие;1,518514
подо;1,698970
подобие;2
подобно;1,397940
подобный;0,477121
подогрев;2
подогревать;2
подогреваться;1,698970
подождать;1,204120
подозреваемый;1,397940
подозревать;1,518514
подозреваться;1,698970
подозрение;1,518514
подозрительность;2
подолье;2
подольск;1,698970
подольский;1,698970
подомацкий;2
подопечная;2
подопечный;1,698970
подоплека;1,698970
подорванюк;2
подорвать;1,301030
подотряд;2
подошва;2
подпадать;2
подписание;0,698970
подписка;1,698970
подписчик;2
подписывать;0,301030
подписываться;1,301030
подпись;0,778151
подпитка;2
подповерхностный;2
подполковник;1,079181
подполье;1,518514
подпольно;2
подпольный;1,397940
подпольщик;2
подпомошников;2
подпорный;2
подпортить;2
подпоручик;2
подправлять;1,698970
подпрограмма;2
подравинская;2
подражать;2
подраздел;2
подразделение;0,698970
подразделять;2
подразумевать;1,397940
подрес;2
подробиці;2
подробно;0
подробность;1,146128
подробный;1,079181
подростковый;1,698970
подросток;1,146128
подруга;1,397940
подружка;2
подручный;2
подрыв;1,518514
подрывать;1,698970
подрывник;2
подрывной;2
подряд;0,954243
подрядчик;1,698970
подсанкционный;2
подсвечивать;2
подсказка;2
подсказывать;1,518514
подсознательно;1,698970
подсолнечный;2
подсолнух;2
подставлять;2
подстанция;1,698970
подстилать;1,698970
подстилка;2
подстраница;1,204120
подстрекательство;1,518514
подстригать;2
подступ;1,397940
подступать;2
подсудимый;1,698970
подсчет;1,204120
подсчитывать;1,301030
подсчитываться;2
подталкивать;1,397940
подтвердить;0,778151
подтверждать;0,602060
подтверждаться;1,518514
подтверждение;1,146128
подтекст;2
подтопление;1,698970
подтоплять;2
подтягивать;1,698970
подтягиваться;2
подумать;1,518514
подуматься;2
подунавий;2
подуть;2
подушка;1,698970
подхватывать;2
подход;0,845098
подходить;0,954243
подходный;2
подходящий;1,301030
подцеплять;2
подчеркивать;1
подчеркиваться;2
подчинение;1,204120
подчиненность;2
подчиненный;1,397940
подчинительный;2
подчинять;1,079181
подчиняться;1,397940
подчистка;2
подъездной;2
подъезжать;2
подъем;1,397940
подымать;0,602060
пое;2
поединок;1,518514
поезд;0,903090
поездка;1,041393
поесть;2
поехать;1,204120
пожаловать;1,397940
пожаловаться;2
пожалуй;1,518514
пожар;0,698970
пожарный;1,204120
пожегский;2
пожелание;2
пожелать;2
пожениться;1,518514
пожертвование;1,698970
пожертвовать;0
пожизненный;1,041393
пожилой;1,397940
пожимать;2
пожинать;2
пожоньский;2
поза;1,397940
позабывать;2
позавчерашний;2
позади;2
позаимствовать;1,698970
позбувається;2
позволять;0,301030
позволяться;2
позвонить;1,518514
позвоночное;2
позвоночный;1,518514
позднеантичный;2
поздний;0,698970
поздно;0,301030
поздравительный;2
поздравление;1,518514
поздравлять;1,518514
позеленение;2
поземельный;2
поземка;2
позирование;2
позитивно;1,698970
позитивный;1,397940
позиционировать;1,518514
позиционный;1,397940
позиция;0,477121
познавательный;2
познакомить;2
познакомиться;1,301030
позолота;2
позолотить;2
позор;1,397940
позорный;1,518514
поиграть;1,518514
поилка;2
поименно;2
поименный;1,698970
поимка;1,397940
поиск;0
поискать;1,698970
поисковик;2
поисковый;1,518514
поистине;2
пойиштеевна;2
пойиштовный;2
пойма;1,698970
поймать;1,518514
пойнт;2
пойнтер;2
пойти;0,903090
пойтрас;2
показ;1,301030
показание;1,397940
показатель;0,698970
показательный;1,698970
показуємо;2
показывать;0,477121
показываться;1,301030
покалечить;2
покарать;2
покатость;2
покаяние;1,698970
поквартально;2
покемон;1,518514
покер;1,518514
покидать;0,477121
поклингтон;2
поклонник;1,397940
поклясться;2
покой;1,518514
покойник;2
покойницкий;2
покойный;1,698970
поколение;0,778151
покончить;1,518514
покорение;2
покорень;2
покорять;1,204120
покоряться;1,698970
покров;1,146128
покровитель;1,698970
покровительница;1,518514
покровительство;1,518514
покровный;2
покровск;1,518514
покровский;1,301030
покрывать;0,903090
покрываться;1,518514
покрытие;1,397940
поксвирус;2
покупатель;1,518514
покупательный;2
покупать;1,146128
покупка;0,778151
покусать;2
покушение;1
пол;0,477121
полабский;1,698970
полагать;0,602060
полагаться;1,146128
полакр;2
поланский;2
полванна;2
полвека;1,518514
полгарин;1,698970
полгода;1,204120
полдень;1,397940
поле;0,477121
полевик;2
полевка;2
полевой;1,041393
полевский;2
полевской;2
полезно;1,518514
полезность;2
полезный;0,698970
полезть;2
полемика;2
поленов;1,698970
полесский;1,698970
полесье;2
полет;0,602060
полетный;1,397940
ползать;2
ползти;2
ползучесть;2
ползучий;2
полиаденилирование;2
полиамория;2
полиандрия;2
полибия;2
поливанов;2
поливанова;1,698970
поливать;1,518514
полигамия;2
полигиния;2
полиглотта;2
полигон;1,204120
полигональный;2
полиграмм;2
полиграфический;2
полиграфия;2
поликлиника;2
поликрат;2
поликсеня;2
полимеразный;2
полимеризация;2
полимерный;1,518514
полиметалл;1,698970
полиметаллический;1,698970
полиморфизм;2
полин;2
полина;1,301030
полинг;1,518514
полинезия;1,518514
полиненасыщенный;2
полински;2
полиомиелит;2
полиорганный;2
полиоркет;1,698970
полиперхон;2
полисексуальность;2
политбюро;1,079181
политематический;2
политех;2
политехнический;1,397940
политзаключенный;2
политзанятие;2
политиздат;1,518514
политизировать;2
политик;0,477121
политика;0
политиканство;2
политикеса;2
политико;1,518514
политически;1,698970
политический;0,301030
политкорректность;2
политолог;1,397940
политология;2
политотдел;2
политпропаганда;2
политсекретариат;2
политтехнолог;2
политуправление;2
политэмигрант;2
полифить;2
полифонический;1,698970
полифония;2
полифункциональный;2
полицейский;0,845098
полициклический;2
полиционер;1,698970
полиция;0,778151
полицмейстер;2
полк;0,845098
полка;1,301030
полковник;0,698970
полковников;2
полководец;2
полковой;1,518514
поллак;2
поллард;2
поллка;2
полмиллиона;1,204120
полна;2
полно;1,397940
полногеномный;2
полнолуние;2
полномасштабный;1,204120
полнометражка;2
полнометражный;1,698970
полномочие;0,698970
полномочный;1,698970
полноправный;1,397940
полностью;0,477121
полнота;1,146128
полноформатный;2
полноценный;1,041393
полночь;1,397940
полный;0,301030
поло;1,518514
половец;2
половина;0,301030
половинчатый;2
половодье;2
половой;1,698970
половый;1,698970
пологий;2
полодиморфический;2
положение;0,301030
положенный;1,397940
положительно;1,698970
положительный;0,845098
полозковый;2
поломка;1,698970
полоний;2
полонья;2
полопаться;2
полоса;0,845098
полосатик;2
полосатый;1,698970
полость;2
полотенце;2
полотно;1,301030
полоцк;2
полоцкий;1,698970
полпред;2
полтава;1,518514
полтавский;2
полтавченко;2
полтинник;2
полтора;0,954243
полтысячи;2
полуавтомат;2
полувоенный;2
полуголый;2
полудница;1,698970
полузащита;2
полузащитник;2
полумера;2
полумесяц;2
полуметалл;1,518514
полуостров;0,602060
полуподвальный;2
полупредикативный;2
полупустой;2
полураспад;1,397940
полусвободный;2
полусотня;2
полусредний;2
полустанок;2
полусуточный;2
полутомпак;2
полуторагодовалый;2
полуустав;2
полуфабрикат;2
полуфинал;1,518514
полухина;2
полуциркульный;2
получас;2
получасовой;2
получать;0
получаться;0,903090
получение;0,477121
полушарие;1,146128
полушин;2
полхов;2
полчаса;1,698970
полынья;2
полыхать;2
поль;1,397940
польгар;2
польза;0,477121
пользование;1,397940
пользователь;1,301030
пользовательский;2
пользоваться;0,778151
полька;2
польность;2
польски;2
польский;0,602060
польша;0,477121
польща;2
полюбить;2
полюс;1
полюстровский;2
поля;1,698970
поляк;1,397940
поляков;1,397940
поляна;1,698970
поляризоваться;2
полярник;1,518514
полярный;1
помада;2
помаз;2
помазание;2
помазун;2
поменять;1,204120
поменяться;2
померания;2
померано;1,698970
померанский;2
померанцев;2
помериться;2
поместный;1,698970
поместье;1,698970
помесячный;2
пометка;1,301030
помеха;1,518514
помешать;1,518514
помещать;0,954243
помещаться;1,204120
помещение;1
помещик;1,698970
помещичий;1,518514
поми;2
помилование;2
помиловать;2
помимо;0,477121
поминальный;1,698970
поминать;2
помирить;2
помириться;2
помнить;1,041393
помножать;2
помогать;0,301030
помозить;2
помойка;1,518514
помолвка;2
помолчать;2
поморский;1,518514
поморье;2
помощник;1,041393
помощь;0,301030
помпеи;2
помпей;1,698970
помутнение;2
помышлять;2
понаблюдать;2
понада;1,698970
понадобиться;1,397940
поначалу;1,518514
понашему;1,518514
понгс;2
понедельник;1,146128
понести;1,041393
понижать;1,397940
понижаться;1,698970
понижение;1,301030
пониженный;1,397940
понимание;1,041393
понимать;0,602060
пониматься;1,698970
понкрашов;2
пономаренко;2
понравиться;1,698970
понс;1,146128
понт;1,698970
понтеведра;2
понтиак;2
понтия;2
понтоппидан;2
понтус;1,698970
поныне;1,698970
понятие;0,845098
понятно;1,204120
понятный;2
понятовск;2
пообещать;1
поощрение;1,518514
поощрять;1,397940
поощряться;2
поп;1,301030
попадание;0,845098
попадать;0,301030
попадаться;2
попадька;2
попарно;2
попасная;2
попастьва;2
поперек;2
попеременно;2
поперечник;1,698970
поперечный;1,698970
попечение;1,518514
попечитель;1,698970
поплав;2
поплавкий;2
попов;1,204120
попович;1,301030
пополам;1,518514
поползень;2
пополнение;1,698970
пополнять;1,301030
пополняться;1,698970
поправка;1,301030
поправлять;1,698970
поприще;2
попробовать;2
попросить;0,845098
попросту;2
попрощаться;1,698970
попугай;1,698970
популист;1,698970
популистский;2
популяризатор;1,518514
популяризация;1,698970
популярность;0,845098
популярный;0,477121
популяционный;2
популяция;1,301030
попускать;2
попутно;1,698970
попутный;1,518514
попытаться;0,698970
попытка;0,301030
пора;1,146128
поработать;1,698970
порадник;2
поражать;1,146128
поражающий;1,698970
поражение;0,477121
поразок;2
поранение;2
поранені;2
порезать;2
порекомендовать;1,698970
порецкий;2
порецкин;2
пористый;2
порицать;2
поркьюпайн;2
порнографический;2
порнография;1,698970
порнократия;2
поровну;1,698970
поровый;2
порог;1,397940
пороговый;2
порода;0,845098
порождать;1,397940
порознь;2
порозовский;2
порок;2
порох;1,518514
пороховой;1,698970
пороша;2
порошковый;2
порошкообразность;2
порошок;1,301030
порт;0,602060
портал;0,301030
портерфилд;2
портик;1,698970
портиться;2
портленд;2
портман;2
портный;2
портовый;1,204120
портокарреро;2
портр;1,698970
портрет;0,698970
портретист;2
портский;2
портсмут;2
портсмутский;2
португалец;2
португалия;1
португалоязычный;2
португальский;0,903090
портфель;1,518514
порудоминский;2
поручать;1,079181
поручаться;2
поручение;1,079181
поручень;2
поручик;2
порфириат;2
порфирий;2
порфириновый;2
порция;1,518514
порча;1,698970
порчальм;2
поршнев;2
порывать;1,518514
порядковый;1,397940
порядком;1,397940
порядок;0,477121
посавинский;2
посавье;2
посад;1,698970
посадить;1,698970
посадка;1,397940
посадочный;1,204120
посвящать;0,477121
посвящаться;2
посвящение;2
посев;2
посейдон;1,698970
посел;1,698970
поселенец;1,698970
поселение;0,602060
поселень;2
поселковый;1,698970
поселок;0,778151
поселяться;1,301030
посему;2
посередине;2
посерьезнеть;2
посетитель;1,301030
посечь;2
посещаемость;1,397940
посещаемый;2
посещаеомсть;2
посещать;0,698970
посещение;1,204120
посидеть;1,698970
поскольку;0,301030
послабление;2
посланец;2
послание;0,954243
посланник;1,204120
послебрежневский;2
послевоенный;1,204120
последний;0
последователь;1,204120
последовательно;1,146128
последовательность;1,518514
последовательный;1,518514
последовать;0,698970
последствие;0,477121
последстивий;2
последующий;0,477121
послелог;2
послематчевый;1,698970
послеоктябрьский;2
послепериод;2
послесловие;2
пословица;1,698970
послужить;0,845098
послужной;2
посматривать;2
посмертно;1,518514
посмотреть;1,079181
пособие;1,146128
пособничество;2
посоветовать;1,698970
посол;0,954243
посольство;1,397940
посох;2
поспелов;1,397940
поспелова;2
поспешить;2
поспешность;2
посполивать;1,146128
поспорить;2
поспособствовать;1,518514
посредник;1,301030
посредничество;1,204120
посредственность;2
посредство;1,397940
посредством;1,146128
поссориться;1,698970
посстравматический;2
пост;0,477121
поставка;0,845098
поставлять;0,477121
поставляться;2
поставщик;1,397940
постамент;2
постанавливать;1,079181
постанов;2
постановка;1,518514
постановление;0,602060
постановлять;1,698970
постараться;1,698970
постгендеризм;2
постель;1,698970
постельный;2
постепенно;0,778151
постепенный;1,397940
постиндустриальный;1,698970
постледниковый;2
постматериализм;2
постмодернизм;1,698970
постмодернистский;2
постнаука;2
постовой;2
постойный;2
постола;2
постолы;2
постольку;2
посторонний;1,698970
постоянно;0,698970
постояннодействующий;2
постоянный;0
постпереходный;1,518514
пострадавший;1
пострадать;0,602060
пострибский;2
построение;1,204120
построить;0,602060
построиться;2
постройка;0,845098
постсоветский;1,041393
посттравматический;2
постулат;2
поступать;0,602060
поступление;1
поступок;1,698970
постфикс;2
постфиксация;2
посуда;1,518514
посчитать;1,301030
посылать;1,146128
посыпать;1,698970
посьета;2
посягательство;1,698970
пот;2
потанин;1,518514
потанинский;2
потвенный;1,698970
потвено;2
потебня;2
потемкин;1,518514
потемкинский;2
потенциал;0,778151
потенциально;1,397940
потенциальный;1
потенциометрический;2
потенция;2
потепление;1,301030
потерпевший;2
потерпеть;0,903090
потеря;0,602060
потерянный;2
потерять;0,602060
потеряться;2
потеть;2
потин;1,397940
потир;2
потих;2
потихоньку;2
потогонный;2
поток;0,903090
потолок;1,518514
потомакский;2
потомок;1,146128
потоп;2
потопление;1,698970
потоплять;1,518514
поторопиться;2
потоцник;2
потравный;2
потратить;1,041393
потребитель;1,301030
потребительский;1,518514
потребительство;2
потребление;1,079181
потреблудие;2
потреблять;2
потребляться;2
потребность;1,146128
потребовать;0,778151
потребоваться;1,041393
потресов;2
потрошение;2
потрошитель;2
потрясать;1,518514
потрясающе;2
потрясение;1,397940
потрібна;2
потсдам;2
потсдамский;2
поттер;1,397940
поттс;1,698970
потушить;1,518514
потянуть;2
поул;2
поучаствовать;2
поучить;2
пофиг;2
похвала;1,518514
похвальный;2
похищать;1,518514
похищение;1,518514
похмелье;2
поход;0,845098
походженний;2
походить;1,698970
походный;2
походчанин;2
похождение;1,518514
похоже;1,301030
похожий;0,845098
похолодание;2
похоронить;1,204120
похоронщик;2
похороны;0,954243
похотливый;2
поцеловать;2
поцелуй;1,698970
поццо;2
почалось;2
почва;0,903090
почвенный;1,698970
почвовед;2
почвоведение;2
почесть;2
почет;1,397940
почетный;0,698970
почин;2
починать;2
починає;2
почитай;2
почиталин;2
почитание;2
почитать;1,397940
почитаться;1,698970
почить;2
почка;1,698970
почта;1,041393
почтамт;2
почтамтский;2
почтительно;2
почтить;2
почтовый;0,778151
почувствовать;1,301030
пош;2
пошив;2
пошлина;1,204120
пошло;1,518514
пошутить;1,698970
пощечина;1,698970
поэ;2
поэзия;1,146128
поэма;1,397940
поэт;0,602060
поэтапно;2
поэтапный;2
поэтесса;1,204120
поэтический;1,301030
поэтому;0,301030
появление;0,845098
появляться;0,301030
пояс;0,903090
пояснение;1,301030
пояснительный;1,698970
поясница;2
пояснять;1,397940
ппс;1,698970
пр;1
пра;1,518514
прабабка;1,698970
прабалтийский;2
прабовый;2
правда;0,602060
правдиво;2
правдивый;1,397940
праведник;1,698970
праведность;2
праведный;2
правее;2
правер;2
правило;0,301030
правильно;1,397940
правильность;2
правильный;1,204120
правитель;0,698970
правительница;2
правительственный;0,845098
правительство;0,301030
правительствующий;2
править;0
правка;0
правление;0,778151
право;0,301030
правобережный;2
правобережье;2
правовед;1,397940
правоведение;1,518514
правоверный;2
правовой;0,903090
правозащитник;1,204120
правозащитница;2
правозащитный;1,397940
правомонархический;2
правомочный;2
правонарушение;2
правообладатель;2
правоохранительный;1,204120
правописание;1,518514
правопорядок;1,301030
правопреемник;1,698970
правопреемный;2
правопреемство;2
праворадикал;2
православие;1,079181
православный;0,698970
правосудие;1,041393
правота;2
правоцентристский;2
правоэсеровский;2
правша;2
правый;0,477121
прага;1,041393
прагерманский;1,698970
прагматизм;2
прад;1,698970
прадильо;2
прадо;1,301030
прадхо;1,698970
пражмовский;2
пражский;1,698970
праздник;0,698970
праздничный;1,518514
праздно;2
празднование;1
праздновать;1,397940
праздноваться;2
праиндоевропейский;1,698970
прайд;2
прайм;1,397940
прайма;2
прайс;1,518514
пракаш;2
пракельтский;2
практик;1,079181
практика;0,845098
практиковать;2
практиковаться;1,518514
практически;0,602060
практический;0,903090
прам;1,698970
прапорщиков;2
праправнук;2
праправнучка;2
прародина;2
прародитель;1,698970
прарун;2
прасемитский;2
праскандинавский;2
праслав;2
праславянский;1,518514
прасныш;2
пратта;1,301030
прауральский;1,698970
прах;1,698970
прачечная;2
пращ;2
праяградж;2
праязык;2
преамбула;1,146128
пребывание;0,954243
пребывать;1,518514
превалье;2
превентивный;2
прево;2
превосходительство;1,518514
превосходить;1
превосходный;1,698970
превосходство;1,146128
превращать;1,079181
превращаться;0,845098
превращение;1,518514
превышать;0,602060
превыше;1,698970
превышение;1,204120
прегль;2
пред;1,397940
предавать;1,397940
предание;1,301030
преданность;2
преданный;1,518514
предатель;2
предательница;2
предательство;1,698970
предаторзой;1,698970
предварительно;1,146128
предварительный;0,778151
предварять;2
предвзято;2
предвзятость;2
предвзятый;2
предвидеть;2
предвидеться;2
предводитель;1,698970
предводительство;2
предвоенный;1,698970
предвыборный;1,518514
предгорие;1,698970
преддверие;1,301030
предел;0,602060
предельно;1,146128
предельный;2
предестинация;2
предикатив;2
предикативный;2
предисл;1,397940
предисловие;1,518514
предлагать;0,301030
предлагаться;1,041393
предлог;1,079181
предложение;0,477121
предложный;2
предме;2
предменструальный;2
предместье;1,518514
предмет;0,477121
предмиссисипский;2
предмиссисипья;2
предназначать;0,845098
предназначаться;1,518514
предназначение;2
предназначенный;2
преднамеренный;1,518514
преднестровский;2
предок;1,079181
предоплачивать;2
предопределение;2
предопределенность;2
предопределять;2
предосенний;2
предоставление;1
предоставлять;0,477121
предоставляться;1,397940
предостерегать;1,698970
предостережение;2
предосудительный;2
предотвращать;0,778151
предотвращение;0,954243
предохранение;2
предпарламент;2
предписание;1,698970
предписывать;1,518514
предполагать;0,477121
предполагаться;0,698970
предпологать;2
предположение;1,301030
предположительно;1,041393
предположительность;2
предположительный;2
предпоследний;1,518514
предпосылка;1,397940
предпочитать;0,845098
предпочтение;1,146128
предпочтительно;2
предприниматель;0,954243
предпринимательница;2
предпринимательство;1,301030
предпринимать;0,698970
предприниматься;1,397940
предприятие;0,477121
предпросмотр;1,698970
предреволюционный;2
предрекать;2
предрекаться;2
предрешать;2
председатель;0,301030
председательство;1,204120
председательствующий;1,698970
предсердие;2
предсказание;1,698970
предсказуемый;2
предсказывать;1,204120
предста;2
представать;1,698970
представитель;0,301030
представительница;1,698970
представительный;1,397940
представительство;1,146128
представление;0,845098
представлять;0
представляться;0
предстоять;1,301030
предстоящий;1,301030
предтеча;1,518514
предубеждение;2
предупреждать;0,954243
предупреждение;1,041393
предусматривать;0,845098
предусматриваться;1,397940
предчувствие;2
предчувствовать;2
предшественник;0,954243
предшествовать;0,778151
предшествующий;1,518514
предъявление;2
предъявлять;1,041393
предыдущий;0,602060
предыстория;1,041393
преемник;0,903090
преемственность;2
преемственный;1,698970
прежде;0,602060
преждевременно;2
преждевременный;2
прежний;0,698970
презентация;1,698970
презентовать;1,698970
презида;2
президент;0
президентский;0,602060
президентство;0,954243
президиум;0,698970
презрение;2
презренный;2
преией;2
преимущественно;0,778151
преимущественный;2
преимущество;1,041393
преисподняя;1,698970
преисполняться;2
прекос;2
прекрасный;1,301030
прекращать;0,477121
прекращаться;1,146128
прекращение;0,698970
прелат;2
прелиминарный;2
преломлять;2
прелюдия;2
премиальный;2
преминджер;2
премировать;2
премия;0,301030
премьер;0,477121
премьера;1,301030
премьерство;2
пренс;1,518514
преобладание;1,397940
преобладать;1,041393
преобладающий;1,698970
преображать;2
преображенец;2
преображение;2
преображенский;1,301030
преобразование;1,041393
преобразовывать;0,778151
преодолевать;1
преодоление;1,301030
препарат;1,397940
преподавание;1,518514
преподаватель;1,079181
преподавать;1,301030
преподаваться;2
преподносить;1,698970
преподобномученица;2
преподобный;1,397940
препятствие;1,397940
препятствовать;1,146128
прерафаэлит;1,698970
прерия;2
прерогатива;2
прерывать;0,845098
прерываться;1,698970
прерывающийся;2
прерывистый;1,698970
пресвитер;2
пресвитерианин;2
пресвитерианство;2
пресвятой;1,397940
пресекать;1,698970
пресекаться;2
прескотт;2
преследование;1
преследователь;2
преследовать;1,301030
преследоваться;2
пресли;2
пресловутый;2
пресмыкающееся;2
пресненский;1,698970
пресноводный;2
пресный;1,698970
пресня;2
пресняков;2
преспер;2
преспокойно;2
пресс;0,778151
пресса;1,079181
преставиться;2
престарелый;2
прести;2
престиж;2
престижный;1,146128
престол;0,903090
престолонаследие;1,698970
престон;2
преступление;0,698970
преступник;0,954243
преступность;1,041393
преступный;1,518514
претендент;1,204120
претендентка;2
претендовать;1,204120
претензия;1,079181
претерпевать;1,518514
преткновение;2
претор;2
претория;2
преувеличение;1,698970
преувеличивать;1,698970
преувеличиваться;2
преуменьшать;2
преуменьшаться;2
преуспевать;1,698970
преуспевающий;2
префект;2
префектура;2
префикс;1,397940
префиксальный;2
префиксация;2
прецедент;1,698970
прецизионный;2
прециози;2
прешернуть;2
прешерный;2
пржанец;2
пржемысл;2
приатлантический;2
прибавление;2
прибавлять;2
прибалатонский;2
прибалтийский;1,698970
прибалтика;1,698970
прибегать;1,397940
прибир;2
приближаться;1,301030
приближение;1,301030
приближенный;1,698970
приблизительно;0,903090
приблизительный;2
приблый;2
прибор;1,146128
прибрежный;1,079181
прибывать;0,778151
прибыловский;2
прибыль;0,845098
прибыльный;1,698970
прибыльский;2
прибытие;1,079181
прива;2
привал;1,698970
приватизация;1,301030
приватизировать;1,698970
приватизируемый;2
приватир;2
приведение;1,518514
привередливый;2
приверженец;1,301030
приверженность;2
привет;2
приветственный;2
приветствие;2
приветствовать;1,698970
приветствоваться;2
прививать;1,518514
привилегированный;1,698970
привилегия;1,301030
привирать;2
привкус;2
привлекательность;2
привлекательный;1,698970
привлекать;0,602060
привлекаться;2
привлечение;1,041393
привнесение;2
приводить;0
приводиться;1,518514
привозить;1,397940
привокзальный;2
приволжский;2
приволье;2
привораживать;2
привыкать;1,301030
привычка;1,698970
привычный;1,204120
привязка;2
привязывать;1,397940
приглашать;0,903090
приглашаться;1,518514
приглашение;1,301030
приго;2
приговаривать;0,954243
приговор;1,079181
пригодность;2
пригодный;1,518514
пригождаться;2
пригожин;2
пригожина;2
пригород;1,146128
пригородный;1,518514
приготавливать;1,518514
приготавливаться;1,698970
приготовление;1,698970
приграничный;1,204120
пригрозить;1,518514
придавать;1
придаваться;2
придание;2
приданое;2
придаток;2
придаточный;2
придворный;1,301030
придел;2
придерживать;2
придерживаться;1,146128
придирка;2
приднестровский;1,397940
приднестровье;1,301030
придонный;2
придтись;2
придумывать;1,041393
прие;2
приезд;2
приезжать;1,041393
прием;0,778151
приемлемый;1,698970
приемник;2
приемный;1,698970
прието;1,518514
приживать;2
прижизненный;1,518514
прижимание;2
прижимной;2
приз;1,079181
призвание;1,698970
призванный;0,954243
приземление;2
приземленный;2
приземлять;2
приземляться;1,698970
приземный;2
призер;1,146128
призма;1,397940
признавать;0,301030
признаваться;1,079181
признак;1,041393
признание;0,602060
признанный;0,845098
призовой;1,698970
призрак;1,397940
призыв;0,698970
призывать;0,602060
призываться;2
призывник;1,698970
призывный;2
прийт;2
прийти;1,397940
приказ;0,602060
приказание;2
приказывать;0,845098
прикарпатский;2
прикасаться;2
прикладной;1,698970
прикладывать;1,397940
приключение;1,146128
приключенческий;2
прикордонні;2
прикраса;2
прикреплять;1,518514
прикрывать;1,518514
прикрываться;2
прикрытие;1,397940
прикуп;2
прилавок;2
прилагательное;1,397940
прилагательный;2
прилагать;1,698970
прилагаться;1,397940
прилегать;1,041393
прилежание;2
прилежно;2
прилеп;2
прилепин;1,698970
прилет;2
прилетать;1,146128
прилив;1,698970
приливный;2
прилипать;2
приличие;2
приличный;2
прилог;2
приложение;1,301030
прилунение;2
прилуцкий;2
прима;2
примаков;2
примас;2
примексиканский;2
применение;0,698970
применимый;1,301030
применительно;1,518514
применять;0,477121
применяться;0,954243
пример;0,602060
примерно;0,477121
примесь;1,204120
примета;1,518514
примечание;0
примечательно;2
примечательный;1,397940
примирение;1,204120
примитивизм;2
примитивный;1,698970
примо;1,698970
примож;2
приморский;1,041393
приморье;2
примыкание;2
примыкать;1
принадлежать;0,602060
принадлежащий;1,518514
принадлежность;1
принижение;2
принимать;0
приниматься;1,146128
приносить;0,778151
принс;1,698970
принсеп;2
принсипи;1,698970
принстон;2
принстонский;2
принт;1,698970
принтер;2
принудительно;1,397940
принудительный;1,397940
принуждать;1,518514
принуждение;2
принц;0,903090
принцесса;1,079181
принцип;0,602060
принципиально;1,518514
принципиальный;1,204120
принятие;0,602060
приобретать;0,698970
приобретение;1,301030
прион;2
приор;1,698970
приоритет;1,041393
приоритетный;1,518514
приостанавливать;1,041393
приостанавливаться;2
приостановка;1,698970
приостановление;1,698970
припай;1,698970
припайный;2
припарковывать;2
припасы;1,518514
припев;2
приписывать;1,079181
приписываться;1,518514
приповерхностный;2
приподымать;2
припой;2
приполюсный;2
припоминать;2
припять;2
приравнивать;2
приразломный;2
прирезок;2
природа;0,845098
природный;0,602060
природоохранный;2
природопользование;1,698970
природопользователь;2
прирост;1,518514
приручать;1,698970
присадка;2
присадок;2
присваивать;1,041393
присваиваться;1,518514
присвоение;1,518514
приск;2
прискорбный;2
присловный;2
прислушиваться;1,397940
присматривать;2
присмотр;2
присогнутый;2
присоединение;1
присоединять;1,146128
присоединяться;0,602060
присоедниниться;2
приспосабливаться;1,698970
приспособленец;2
приспособление;2
приспособлять;1,698970
прист;2
пристав;2
приставка;1,397940
приставлять;2
пристально;2
пристальный;2
пристань;2
пристготан;2
пристойный;2
приступ;2
приступать;0,845098
присуждать;1,146128
присуждаться;2
присуждение;1,698970
присутствие;0,698970
присутствовать;0,698970
присутствующий;2
присущий;2
присылать;1,698970
присяга;1,204120
присягать;2
притворный;2
притворов;2
притеснение;2
прити;2
притихать;2
приток;0,954243
притом;2
притцкеровский;1,698970
притча;2
притягивать;2
притяжательный;2
притяжение;1,698970
притязание;2
приукрашивать;2
